town,type,gross,past_gross,past_use,use
MIDDLEBURY,Meals and Rooms,376044936.6,386797347.63,1559743.1666666665,1688676.1666666667
MIDDLEBURY,Sales and Use,403745254.59000003,416910532.28,1636800.6666666663,1748164.3333333342
MIDDLESEX,Meals and Rooms,11979447.34,0.0,0.0,0.0
MIDDLESEX,Meals and Rooms,4926836.6,11973246.14,0.0,0.0
MIDDLESEX,Sales and Use,65516660.160000004,36177336.2,0.0,0.0
MIDDLETOWN SPRINGS,Sales and Use,2286330.99,2270783.08,0.0,0.0
MILTON,Meals and Rooms,150927961.02,181583294.18,646203.6666666666,2268682.33333333
MILTON,Meals and Rooms,164091055.02,177530677.65,4861754.999999997,2483423.66666667
MILTON,Sales and Use,208681000.82999998,218022609.65,5174947.6666666735,2869344.0
MONKTON,Sales and Use,4355601.99,3659691.15,0.0,0.0
MONTGOMERY,Sales and Use,9836665.58,9001035.33,0.0,0.0
MONTPELIER,Meals and Rooms,171185541.42,174050827.91,3705237.666666667,3914134.333333332
MONTPELIER,Meals and Rooms,177429134.02,171158002.44,3916177.4999999986,4325653.666666666
MONTPELIER,Sales and Use,203631273.16,196724756.36,4115388.333333334,4535800.999999999
MORETOWN,Meals and Rooms,4010016.63,2851505.5300000003,0.0,0.0
MORETOWN,Meals and Rooms,3687328.15,4010016.63,0.0,0.0
MORETOWN,Sales and Use,7645188.85,7193093.4,0.0,0.0
MORRISTOWN,Meals and Rooms,264931679.26,245685848.19,2405810.3333333335,2825027.1666666665
MORRISTOWN,Meals and Rooms,270567563.17,265148103.77,2827790.333333334,2212815.666666667
MORRISTOWN,Sales and Use,280259973.01,274088459.81,3045148.166666668,2413642.166666667
MOUNT HOLLY,Sales and Use,3810511.71,5232102.27,0.0,0.0
NEW HAVEN,Meals and Rooms,112304835.52,121249304.5,0.0,0.0
NEW HAVEN,Meals and Rooms,124784918.6,120277351.36,0.0,0.0
NEW HAVEN,Sales and Use,125770742.42,121332334.21000001,0.0,0.0
NEWBURY,Meals and Rooms,36070130.53,36469162.29,0.0,0.0
NEWBURY,Meals and Rooms,37141242.03,36070130.53,0.0,0.0
NEWBURY,Sales and Use,38637113.120000005,37545637.97,53170.66666666667,0.0
NEWFANE,Sales and Use,9525351.09,9235475.41,0.0,0.0
NEWPORT TOWN,Sales and Use,6403383.26,6290499.21,0.0,0.0
NORTH HERO,Meals and Rooms,739203.03,449517.02,0.0,0.0
NORTH HERO,Meals and Rooms,1509415.94,739203.03,0.0,0.0
NORTH HERO,Sales and Use,5756202.3100000005,6206232.96,0.0,0.0
NORTHFIELD,Meals and Rooms,67554768.35,62365294.9,0.0,0.0
NORTHFIELD,Meals and Rooms,72953679.25,67324128.74,0.0,0.0
NORTHFIELD,Sales and Use,75179734.15,68938982.39,0.0,0.0
NORWICH,Meals and Rooms,81654178.1,77488368.08,0.0,0.0
NORWICH,Meals and Rooms,105982171.63,81482443.41,0.0,0.0
NORWICH,Sales and Use,111786196.83,87817143.16,617650.1666666665,561116.3333333335
ORWELL,Sales and Use,19517909.189999998,21029775.32,0.0,0.0
PAWLET,Meals and Rooms,6529626.8,5581093.39,0.0,0.0
PAWLET,Meals and Rooms,4949455.66,6529626.8,0.0,0.0
PAWLET,Sales and Use,9039926.27,11250424.65,0.0,0.0
PERU,Sales and Use,3758540.3200000003,3064770.0700000003,0.0,0.0
PITTSFIELD,Sales and Use,4491027.41,0.0,0.0,0.0
PITTSFORD,Meals and Rooms,24766846.14,23010792.83,0.0,0.0
PITTSFORD,Meals and Rooms,33370711.0,25239046.75,0.0,0.0
PITTSFORD,Sales and Use,43031684.14,37667347.86,0.0,0.0
PLAINFIELD,Meals and Rooms,2312551.24,0.0,0.0,0.0
PLAINFIELD,Meals and Rooms,1868388.7,734625.75,0.0,0.0
PLAINFIELD,Sales and Use,5042703.6,4665155.3,0.0,0.0
PLYMOUTH,Sales and Use,0.0,732610.56,0.0,0.0
POMFRET,Sales and Use,2456123.89,2152886.5300000003,0.0,0.0
POULTNEY,Meals and Rooms,24891155.83,23339555.71,0.0,0.0
POULTNEY,Meals and Rooms,25527094.95,24886702.18,0.0,0.0
POULTNEY,Sales and Use,46592381.17,45103653.82,0.0,0.0
POWNAL,Meals and Rooms,4963075.75,8364029.38,0.0,0.0
POWNAL,Meals and Rooms,0.0,5557912.51,0.0,0.0
POWNAL,Sales and Use,13168212.58,12028239.14,0.0,0.0
PROCTOR,Meals and Rooms,0.0,2072458.28,0.0,0.0
PROCTOR,Sales and Use,12112984.11,13436079.34,0.0,0.0
PUTNEY,Meals and Rooms,12076151.67,11643456.34,0.0,0.0
PUTNEY,Meals and Rooms,10999602.04,12100827.67,0.0,0.0
PUTNEY,Sales and Use,58091450.05,56285309.3,441591.0,274378.66666666674
RANDOLPH,Meals and Rooms,87011632.21000001,84219286.42,534520.3333333334,280112.3333333334
RANDOLPH,Meals and Rooms,82653759.0,87019843.21000001,280112.3333333334,459765.6666666667
RANDOLPH,Sales and Use,148268781.07,151318797.28,468093.1666666666,520972.49999999994
READING,Sales and Use,1026957.04,1071259.5,0.0,0.0
READSBORO,Sales and Use,434502.34,438056.07,0.0,0.0
RICHFORD,Meals and Rooms,65433471.79,64189533.09,0.0,0.0
RICHFORD,Meals and Rooms,89301103.49,65433471.79,0.0,0.0
RICHFORD,Sales and Use,89584901.45,65742092.07,11395.333333333328,0.0
RICHMOND,Meals and Rooms,98974223.29,102702658.75,52337.83333333342,218909.3333333334
RICHMOND,Meals and Rooms,102038393.84,98989630.29,218909.3333333334,0.0
RICHMOND,Sales and Use,110849571.47999999,108715931.02000001,1539188.8333333335,891190.9999999998
ROCHESTER,Meals and Rooms,16634527.42,23093910.41,0.0,0.0
ROCHESTER,Meals and Rooms,12016206.95,17489756.89,0.0,0.0
ROCHESTER,Sales and Use,17218486.009999998,19095512.04,0.0,0.0
ROCKINGHAM,Meals and Rooms,79601138.67999999,72572331.44,461423.6666666667,574966.6666666664
ROCKINGHAM,Meals and Rooms,79679645.12,79600676.85,574966.6666666664,417354.8333333332
ROCKINGHAM,Sales and Use,106958319.51,107614303.7,749445.4999999999,863498.6666666666
ROYALTON,Meals and Rooms,58198764.73,48389791.14,0.0,0.0
ROYALTON,Meals and Rooms,65961858.95,58211403.38,0.0,0.0
ROYALTON,Sales and Use,66906717.58,58561598.18,97325.99999999994,46045.0
RUTLAND TOWN,Meals and Rooms,215549017.04,278800056.44,10111348.833333334,12645360.166666664
RUTLAND TOWN,Meals and Rooms,250406655.94,246242029.26000002,12738674.83333333,11889160.666666668
RUTLAND TOWN,Sales and Use,255871709.65000004,253889718.74,12740395.166666662,11891080.166666664
RYEGATE,Sales and Use,13672827.66,17745666.88,0.0,0.0
SALISBURY,Sales and Use,1870837.64,1293169.02,0.0,0.0
SHAFTSBURY,Meals and Rooms,87755429.42999999,56282735.57,0.0,0.0
SHAFTSBURY,Meals and Rooms,88957486.91,87764959.92,0.0,0.0
SHAFTSBURY,Sales and Use,90168874.11,88624083.91,0.0,0.0
SHARON,Sales and Use,5056315.85,2289738.73,0.0,0.0
SHELBURNE,Meals and Rooms,242860167.15,224694851.51999998,1121596.333333334,1786801.5000000002
SHELBURNE,Meals and Rooms,243807219.11,242902436.75,1786694.0000000002,979202.0000000001
SHELBURNE,Sales and Use,270134907.55,276728325.45,1833475.1666666672,1050379.8333333337
SHELDON,Sales and Use,29641926.97,35232478.21,0.0,0.0
SHOREHAM,Sales and Use,59331579.86,42310794.57,0.0,0.0
SHREWSBURY,Sales and Use,1404370.49,1470469.25,0.0,0.0
SOUTH BURLINGTON,Meals and Rooms,1704888423.23,1720432180.8,15921397.0,18457037.666666664
SOUTH BURLINGTON,Meals and Rooms,2486489686.04,1709036000.09,18370818.5,14934592.500000002
SOUTH BURLINGTON,Sales and Use,2567871035.05,1777103302.0700002,19312722.83333333,15572189.166666668
SOUTH HERO,Meals and Rooms,20049779.849999998,18487766.02,0.0,0.0
SOUTH HERO,Meals and Rooms,19573059.29,19613915.85,0.0,0.0
SOUTH HERO,Sales and Use,20322565.32,20181455.04,0.0,0.0
SPRINGFIELD,Meals and Rooms,131735087.45,119268333.9,1782549.0,2411564.5000000005
SPRINGFIELD,Meals and Rooms,132610199.07000001,131760497.45,2415931.1666666665,1639590.6666666672
SPRINGFIELD,Sales and Use,140115954.31,138941841.23000002,2599488.166666667,1715243.8333333337
STARKSBORO,Sales and Use,2367288.35,2431510.33,0.0,0.0
STOWE,Meals and Rooms,175723089.79,163166713.47,2912215.1666666665,5224194.0
STOWE,Meals and Rooms,176557666.56,176075886.17,5227206.333333333,5274517.83333333
STOWE,Sales and Use,200988608.69,198302823.01999998,5641306.999999999,5608052.166666671
STRAFFORD,Sales and Use,1603823.29,957220.43,0.0,0.0
SWANTON,Meals and Rooms,155865231.8,115886622.34,181810.1666666667,324913.4999999999
SWANTON,Meals and Rooms,153644503.44,155925501.7,324196.66666666657,282183.8333333334
SWANTON,Sales and Use,172444266.19,182992228.48000002,398960.5000000002,446057.50000000006
THETFORD,Meals and Rooms,14708860.52,15243675.45,0.0,0.0
THETFORD,Meals and Rooms,15424458.25,14908403.56,0.0,0.0
THETFORD,Sales and Use,16033525.4,15791813.24,194806.0,150595.83333333326
TOWNSHEND,Meals and Rooms,0.0,4975589.72,0.0,0.0
TOWNSHEND,Sales and Use,15245880.08,14870594.54,0.0,0.0
TROY,Meals and Rooms,6468513.2,9915507.77,0.0,0.0
TROY,Meals and Rooms,18990424.53,16960042.7,0.0,0.0
TROY,Sales and Use,35127988.19,35297626.019999996,974686.8333333341,473781.3333333334
TUNBRIDGE,Sales and Use,2026077.76,2110480.83,0.0,0.0
UNDERHILL,Meals and Rooms,19858510.93,0.0,0.0,0.0
UNDERHILL,Meals and Rooms,25361161.39,19860733.1,0.0,0.0
UNDERHILL,Sales and Use,27086446.48,26499238.869999997,0.0,0.0
VERGENNES,Meals and Rooms,166000444.37,175086955.9,2415335.500000001,4119816.8333333293
VERGENNES,Meals and Rooms,136938625.25,165873481.87,4119672.4999999953,3849462.333333333
VERGENNES,Sales and Use,141424542.23,170965362.32,4134819.999999997,3879029.166666667
VERNON,Meals and Rooms,16556553.3,890102.34,0.0,0.0
VERNON,Meals and Rooms,19134686.31,16556553.3,0.0,0.0
VERNON,Sales and Use,20579359.740000002,18283978.58,0.0,0.0
WAITSFIELD,Meals and Rooms,99359300.23,96231486.25999999,0.0,109424.33333333334
WAITSFIELD,Meals and Rooms,94247557.75,99834380.15,109424.33333333334,0.0
WAITSFIELD,Sales and Use,119262295.3,121536919.68,1163197.9999999995,661496.6666666667
WALLINGFORD,Sales and Use,10024243.71,10843672.39,0.0,0.0
WARDSBORO,Sales and Use,3409322.56,4151406.24,0.0,0.0
WARREN,Meals and Rooms,35886774.57,25610645.73,0.0,0.0
WARREN,Meals and Rooms,57371429.97,35886774.57,0.0,0.0
WARREN,Sales and Use,57852396.71,43966601.43,0.0,0.0
WATERBURY,Meals and Rooms,95359024.93,93074294.07000001,3102179.666666666,3653059.5000000014
WATERBURY,Meals and Rooms,91903406.97,95793069.75,3653059.500000001,3160877.8333333335
WATERBURY,Sales and Use,135787163.81,133429303.38,3773844.000000001,3248172.3333333307
WATERFORD,Meals and Rooms,7056104.83,11419198.69,0.0,0.0
WATERFORD,Meals and Rooms,8582913.71,7056104.83,0.0,0.0
WATERFORD,Sales and Use,11294234.52,9550830.95,0.0,0.0
WEATHERSFIELD,Meals and Rooms,17594587.95,14115509.58,0.0,0.0
WEATHERSFIELD,Meals and Rooms,16723634.870000001,17588762.03,0.0,0.0
WEATHERSFIELD,Sales and Use,19718643.91,19988407.830000002,697823.0000000003,591231.6666666667
WELLS,Sales and Use,1252044.29,1713249.5899999999,0.0,0.0
WEST RUTLAND,Meals and Rooms,41718277.47,40267340.07,0.0,0.0
WEST RUTLAND,Meals and Rooms,46642223.839999996,41718277.47,0.0,0.0
WEST RUTLAND,Sales and Use,65680589.74,55627582.31,362510.0000000004,223528.83333333334
WEST WINDSOR,Sales and Use,1075142.35,1529745.0699999998,0.0,0.0
WESTFIELD,Sales and Use,5849356.3100000005,5717488.7,0.0,0.0
WESTFORD,Meals and Rooms,1170296.07,0.0,0.0,0.0
WESTFORD,Sales and Use,13923773.39,12983273.61,0.0,0.0
WESTMINSTER,Meals and Rooms,28084660.64,21717513.37,0.0,0.0
WESTMINSTER,Meals and Rooms,48847228.87,28237333.03,0.0,0.0
WESTMINSTER,Sales and Use,51189773.03,30734991.78,438892.3333333334,531720.8333333331
WESTON,Sales and Use,2660005.37,6130746.24,0.0,0.0
WEYBRIDGE,Sales and Use,0.0,438728.89,0.0,0.0
WHITINGHAM,Meals and Rooms,3624762.26,1832640.95,0.0,0.0
WHITINGHAM,Meals and Rooms,3948836.89,4174533.98,0.0,0.0
WHITINGHAM,Sales and Use,5997576.79,6300178.359999999,214071.33333333343,89498.00000000003
WILLIAMSTOWN,Meals and Rooms,15486610.56,14757022.49,0.0,0.0
WILLIAMSTOWN,Meals and Rooms,15827575.51,15487851.63,0.0,0.0
WILLIAMSTOWN,Sales and Use,19658161.54,18783008.96,0.0,0.0
WILLISTON,Meals and Rooms,852485118.38,832151127.0699999,16480055.166666668,17935585.333333332
WILLISTON,Meals and Rooms,819425220.0799999,856112041.71,17951832.5,17233500.0
WILLISTON,Sales and Use,1009120191.38,1090837180.8600001,19267062.166666675,18870337.833333332
WILMINGTON,Meals and Rooms,47698264.28,54886715.89,0.0,0.0
WILMINGTON,Meals and Rooms,44206419.28,47880325.89,0.0,0.0
WILMINGTON,Sales and Use,55860822.9,60285480.92,96398.99999999999,140254.16666666674
WINDSOR,Meals and Rooms,30950910.94,32913799.36,82838.8333333334,317820.3333333335
WINDSOR,Meals and Rooms,31457192.48,30988400.94,317820.3333333335,281754.8333333333
WINDSOR,Sales and Use,37379310.5,36224486.21,502983.83333333314,523035.1666666667
WINHALL,Meals and Rooms,8540014.27,7430750.0600000005,0.0,0.0
WINHALL,Meals and Rooms,10853208.82,8540014.27,0.0,0.0
WINHALL,Sales and Use,11132377.219999999,11199513.93,0.0,0.0
WINOOSKI,Meals and Rooms,103796462.27000001,178496579.9,3825911.6666666674,2653997.333333333
WINOOSKI,Meals and Rooms,66111527.72,103717486.41,2653970.333333333,0.0
WINOOSKI,Sales and Use,167509276.79,238628449.64,4173726.0000000014,3612230.5000000005
WOLCOTT,Meals and Rooms,1284774.2,2866380.29,0.0,0.0
WOLCOTT,Meals and Rooms,3380747.0700000003,2917292.48,0.0,0.0
WOLCOTT,Sales and Use,6623062.2,11001636.27,0.0,0.0
WOODSTOCK,Meals and Rooms,75543617.18,74870639.07,1626191.5,1563750.5000000002
WOODSTOCK,Meals and Rooms,72198322.81,75625205.99,1564521.5,1511285.9999999995
WOODSTOCK,Sales and Use,85243444.27,88853955.36,1709257.0000000005,1686551.6666666672
WORCESTER,Sales and Use,1127846.85,613074.55,0.0,0.0
